1540376721,2912
1540327821,5688
1540344981,5907
1540317349,4838
1540337368,7655
1540373724,4248
1540376610,5637
1540318662,4779
1540371687,6697
1540347202,9246
1540331982,1882
1540379422,5512
1540349905,4028
1540382019,6988
1540332251,6461
1540348064,6498
1540377978,6241
1540353217,6278
1540325185,945
1540333520,1668
1540319548,5439
1540333794,1821
1540363614,7065
1540326050,6204
1540317883,4428
1540333140,6315
1540353364,6029
1540331187,6823
1540342262,2999
1540356308,7248
1540325090,4055
1540368960,6462
1540358138,6019
1540381840,6709
1540373686,7512
1540365800,7363
1540344111,7900
1540367774,5578
1540335006,137
1540374269,5331
1540375709,6674
1540324277,7840
1540382630,1825
1540330968,7881
1540324619,3593
1540337863,3123
1540326317,1618
1540318813,6572
1540366459,5338
1540322140,6167
1540380521,6655
1540334975,2339
1540327048,4901
1540380059,3899
1540341787,5857
1540324362,1792
1540363939,3954
1540360122,6689
1540353688,2746
1540366692,5274
1540378204,4864
1540335324,2140
1540367103,4449
1540334360,3768
1540326115,650
1540322602,101
1540317265,1860
1540324350,4829
1540365842,4351
1540362411,6369
1540379939,7106
1540322540,5769
1540369675,5969
1540333553,4878
1540335889,3719
1540349505,6314
1540370232,6927
1540345779,13986
1540372742,7442
1540320920,7232
1540321450,6184
1540357112,5471
1540353261,5812
1540345313,3980
1540324411,2151
1540334545,1409
1540349680,8071
1540358216,146
